id,label,center_x,center_y,rotation_degrees,long_axis_angle_degrees,width,height
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-30-3,66-2,516.6038098071887,301.4833152351532,114.86133000000001,-155.1386700000004,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1,65-2-2,666.3022697609538,204.74032414582678,-0.8978468100000043,89.10215318999894,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4,65-2-1,658.7455324438138,204.84373896460343,-0.8978468100000043,89.10215318999894,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3,65-1-2,666.9945312723058,230.878375762885,-0.8978468100000043,89.10215318999894,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5,65-1-1,659.4377839563934,230.98179073835908,-0.8978468100000043,89.10215319000548,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4,64-1,620.9665016394058,227.75264266794062,119.34072000000003,-150.6592799999977,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-7,64-2,643.9364532999765,241.1563708692152,119.34072000000003,-150.6592800000009,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71,63-2,605.5229296815364,242.92486868225774,166.43508000000003,-103.56492000000348,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-2,63-1,611.7366294873482,268.9202801440986,166.43162,-103.56838000000505,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-8,62-1,538.152456796555,291.49000511646534,-164.32281,-74.32280999999556,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3,62-4,588.9310251732751,236.0952311814857,-145.46022,-55.460220000000874,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-6,62-3,570.076775514085,253.33652535613112,-120.88308,-30.883080000001144,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-2,62-2,550.7219853134136,269.2430516663832,-137.07552,-47.075520000001376,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-3,61-2,514.5151406944738,260.0662550894983,62.39517599999999,152.39517599999692,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-8,61-3,536.7620565580132,249.27649243682185,63.807038000000006,153.80703800000208,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-6,61-4,558.9612177092957,238.30638583373673,63.49823000000001,153.49823000000174,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-2,61-5,580.622617202782,227.26555423634218,62.15673000000001,152.15672999999833,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3,61-1,491.3783393694715,272.0239571043792,62.15673000000001,152.15672999999975,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4,60-1-2,619.8943662703418,208.47354919311,60.60428300000001,150.60428300000012,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-0,60-2-2,642.8050516045754,196.07846962767218,60.60428300000001,150.6042829999983,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-2,60-2-1,639.1086505107496,189.48668743629455,60.60428300000001,150.60428300000012,3.3142691,21.368462
